course_id,course_name,course_overview_raw,course_url,credits,discovery_method,discovery_source_url,display_course_code,http_status,in_canonical_workbooks_before,in_database_before,page_title,prerequisite_status,prerequisite_text_raw,reconciliation,seed,status,subject_category,validation_notes,validation_status
TMBR3530,,,https://www.bcit.ca/courses/lateral-force-resisting-system-lfrs-design-in-mass-timber-structures-tmbr-3530/,,program_matrix_link,https://www.bcit.ca/programs/applied-mass-timber-engineering-microcredential-part-time-0876cm/,TMBR 3530,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMBR3540,,,https://www.bcit.ca/courses/advanced-topics-in-mass-timber-connections-tmbr-3540/,,program_matrix_link,https://www.bcit.ca/programs/applied-mass-timber-engineering-microcredential-part-time-0876cm/,TMBR 3540,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMGT7135,,,https://www.bcit.ca/courses/strategy-innovation-and-entrepreneurship-tmgt-7135/,,program_matrix_link,https://www.bcit.ca/programs/technology-management-bachelor-of-technology-part-time-8350btech/,TMGT 7135,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMGT7151,,,https://www.bcit.ca/courses/implement-issues-in-telecom-tmgt-7151/,,program_matrix_link,https://www.bcit.ca/programs/technology-management-bachelor-of-technology-part-time-8350btech/,TMGT 7151,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMGT7152,,,https://www.bcit.ca/courses/implementation-issues-in-data-management-tmgt-7152/,,program_matrix_link,https://www.bcit.ca/programs/technology-management-bachelor-of-technology-part-time-8350btech/,TMGT 7152,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMGT7153,,,https://www.bcit.ca/courses/tactical-and-strategic-business-use-of-the-internet-tmgt-7153/,,program_matrix_link,https://www.bcit.ca/programs/technology-management-bachelor-of-technology-part-time-8350btech/,TMGT 7153,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMGT7156,,,https://www.bcit.ca/courses/it-risk-management-tmgt-7156/,,program_matrix_link,https://www.bcit.ca/programs/technology-management-bachelor-of-technology-part-time-8350btech/,TMGT 7156,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMGT8101,,,https://www.bcit.ca/courses/directed-studies-tmgt-8101/,,program_matrix_link,https://www.bcit.ca/programs/technology-management-bachelor-of-technology-part-time-8350btech/,TMGT 8101,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMGT8103,,,https://www.bcit.ca/courses/technology-assessment-tmgt-8103/,,program_matrix_link,https://www.bcit.ca/programs/technology-management-bachelor-of-technology-part-time-8350btech/,TMGT 8103,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMGT8104,,,https://www.bcit.ca/courses/project-tmgt-8104/,,program_matrix_link,https://www.bcit.ca/programs/technology-management-bachelor-of-technology-part-time-8350btech/,TMGT 8104,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TSYH4530,,,https://www.bcit.ca/courses/subdivision-planning-design-part-1-land-use-planning-tsyh-4530/,,program_matrix_link,https://www.bcit.ca/programs/civil-technology-certificate-part-time-5430cert/,TSYH 4530,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TSYH4720,,,https://www.bcit.ca/courses/engineering-economics-part-1-fundamentals-of-financial-calculations-tsyh-4720/,,program_matrix_link,https://www.bcit.ca/programs/civil-technology-certificate-part-time-5430cert/,TSYH 4720,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TSYH4721,,,https://www.bcit.ca/courses/engineering-economics-part-2-introduction-to-engineering-economics-tsyh-4721/,,program_matrix_link,https://www.bcit.ca/programs/civil-technology-certificate-part-time-5430cert/,TSYH 4721,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
WATR1020,,,https://www.bcit.ca/courses/wastewater-treatment-systems-operation-watr-1020/,,program_matrix_link,https://www.bcit.ca/programs/fundamentals-of-water-and-wastewater-operations-associate-certificate-part-time-6040acert/,WATR 1020,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
WATR1030,,,https://www.bcit.ca/courses/water-distribution-and-mechanical-systems-watr-1030/,,program_matrix_link,https://www.bcit.ca/programs/fundamentals-of-water-and-wastewater-operations-associate-certificate-part-time-6040acert/,WATR 1030,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
WATR1040,,,https://www.bcit.ca/courses/wastewater-collection-and-mechanical-systems-watr-1040/,,program_matrix_link,https://www.bcit.ca/programs/fundamentals-of-water-and-wastewater-operations-associate-certificate-part-time-6040acert/,WATR 1040,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
